date,three_month,one_year,two_year,three_year,five_year,seven_year,ten_year,twenty_year,thirty_year
1990-01-01,7.83,7.81,7.87,7.9,7.87,7.98,7.94,NA,8
1990-02-01,8.02,8.09,8.28,8.35,8.35,8.38,8.42,NA,8.44
1990-03-01,8.08,8.21,8.53,8.53,8.53,8.62,8.59,NA,8.61
1990-04-01,8.05,8.34,8.62,8.67,8.65,8.69,8.65,NA,8.63
1990-05-01,8.19,8.56,9.02,9.09,9.08,9.09,9.08,NA,9.04
1990-06-01,7.94,8.06,8.33,8.36,8.38,8.47,8.44,NA,8.43
1990-07-01,8,8.06,8.25,8.32,8.35,8.46,8.43,NA,8.41
1990-08-01,7.67,7.63,7.85,7.96,8.06,8.2,8.29,NA,8.36
1990-09-01,7.64,7.76,8.09,8.28,8.53,8.8,8.9,NA,9.03
1990-10-01,7.37,7.63,7.94,8.12,8.38,8.63,8.71,NA,8.84
1990-11-01,7.28,7.32,7.68,7.88,8.15,8.42,8.57,NA,8.7
1990-12-01,7.28,7.31,7.51,7.65,7.88,8.14,8.22,NA,8.36
1991-01-01,6.66,6.74,7.08,7.3,7.59,7.9,7.97,NA,8.14
1991-02-01,6.17,6.27,6.83,7.1,7.45,7.75,7.91,NA,8.09
1991-03-01,6.27,6.52,7.18,7.41,7.78,8,8.12,NA,8.28
1991-04-01,5.94,6.27,7.01,7.3,7.74,7.97,8.07,NA,8.25
1991-05-01,5.71,6.09,6.8,7.14,7.63,7.87,8.01,NA,8.18
1991-06-01,5.79,6.27,6.79,7.21,7.8,8.01,8.14,NA,8.34
1991-07-01,5.76,6.38,6.97,7.39,7.93,8.17,8.26,NA,8.44
1991-08-01,5.72,6.23,6.84,7.22,7.78,8.05,8.2,NA,8.38
1991-09-01,5.51,5.72,6.33,6.67,7.32,7.66,7.81,NA,8.05
1991-10-01,5.25,5.42,5.99,6.26,6.9,7.27,7.45,NA,7.81
1991-11-01,4.89,5.03,5.65,6.02,6.71,7.16,7.48,NA,7.93
1991-12-01,4.51,4.68,5.33,5.71,6.43,6.91,7.32,NA,7.92
1992-01-01,3.96,4.13,4.77,5.13,5.98,6.46,6.78,NA,7.46
1992-02-01,3.96,4.23,5.15,5.72,6.52,6.98,7.36,NA,7.82
1992-03-01,4.14,4.5,5.45,5.94,6.73,7.07,7.38,NA,7.9
1992-04-01,4.11,4.48,5.53,6.07,6.82,7.17,7.46,NA,7.9
1992-05-01,3.72,4.28,5.33,5.97,6.82,7.2,7.56,NA,8.01
1992-06-01,3.82,4.32,5.29,5.84,6.69,7.06,7.39,NA,7.9
1992-07-01,3.63,4.04,4.82,5.38,6.27,6.73,7.1,NA,7.76
1992-08-01,3.25,3.61,4.4,4.97,5.82,6.28,6.72,NA,7.46
1992-09-01,3.22,3.45,4.12,4.64,5.52,6.11,6.56,NA,7.38
1992-10-01,2.67,2.96,3.67,4.18,5.18,5.8,6.23,NA,7.3
1992-11-01,3.08,3.62,4.47,5.07,5.96,6.46,6.88,NA,7.66
1992-12-01,3.4,3.86,4.81,5.39,6.24,6.61,6.94,NA,7.57
1993-01-01,3.19,3.56,4.48,5.03,5.9,6.33,6.6,NA,7.33
1993-02-01,3.01,3.4,4.19,4.69,5.55,5.97,6.38,NA,7.21
