date,rate
1990-01-01,7.98
1990-02-01,8.38
1990-03-01,8.62
1990-04-01,8.69
1990-05-01,9.09
1990-06-01,8.47
1990-07-01,8.46
1990-08-01,8.2
1990-09-01,8.8
1990-10-01,8.63
1990-11-01,8.42
1990-12-01,8.14
1991-01-01,7.9
1991-02-01,7.75
1991-03-01,8
1991-04-01,7.97
1991-05-01,7.87
1991-06-01,8.01
1991-07-01,8.17
1991-08-01,8.05
1991-09-01,7.66
1991-10-01,7.27
1991-11-01,7.16
1991-12-01,6.91
1992-01-01,6.46
1992-02-01,6.98
1992-03-01,7.07
1992-04-01,7.17
1992-05-01,7.2
1992-06-01,7.06
1992-07-01,6.73
1992-08-01,6.28
1992-09-01,6.11
1992-10-01,5.8
1992-11-01,6.46
1992-12-01,6.61
1993-01-01,6.33
1993-02-01,5.97
1993-03-01,5.58
1993-04-01,5.74
1993-05-01,5.54
1993-06-01,5.71
1993-07-01,5.46
1993-08-01,5.55
1993-09-01,5.12
1993-10-01,5.03
1993-11-01,5.32
1993-12-01,5.52
1994-01-01,5.66
1994-02-01,5.43
1994-03-01,6.08
1994-04-01,7.01
1994-05-01,6.93
1994-06-01,6.95
1994-07-01,7.19
1994-08-01,6.94
1994-09-01,7.01
1994-10-01,7.52
1994-11-01,7.75
1994-12-01,7.87
1995-01-01,7.91
1995-02-01,7.65
1995-03-01,7.17
1995-04-01,7.08
1995-05-01,6.96
1995-06-01,6.04
1995-07-01,6.16
1995-08-01,6.4
1995-09-01,6.14
1995-10-01,6.1
1995-11-01,5.86
1995-12-01,5.63
1996-01-01,5.51
1996-02-01,5.47
1996-03-01,5.86
1996-04-01,6.28
1996-05-01,6.58
1996-06-01,6.8
1996-07-01,6.61
1996-08-01,6.52
1996-09-01,6.83
1996-10-01,6.54
1996-11-01,6.26
1996-12-01,5.97
1997-01-01,6.45
1997-02-01,6.34
1997-03-01,6.53
1997-04-01,6.87
1997-05-01,6.65
1997-06-01,6.59
1997-07-01,6.42
1997-08-01,6.17
1997-09-01,6.3
1997-10-01,6.05
1997-11-01,5.94
1997-12-01,5.88
1998-01-01,5.68
1998-02-01,5.55
1998-03-01,5.77
1998-04-01,5.68
1998-05-01,5.72
1998-06-01,5.59
1998-07-01,5.5
1998-08-01,5.51
1998-09-01,5.06
1998-10-01,4.26
1998-11-01,4.63
1998-12-01,4.63
1999-01-01,4.75
1999-02-01,4.82
1999-03-01,5.49
1999-04-01,5.4
1999-05-01,5.44
1999-06-01,5.99
1999-07-01,5.98
1999-08-01,6.11
1999-09-01,6.2
1999-10-01,6.22
1999-11-01,6.23
1999-12-01,6.32
2000-01-01,6.65
2000-02-01,6.71
2000-03-01,6.63
2000-04-01,6.25
2000-05-01,6.55
2000-06-01,6.44
2000-07-01,6.19
2000-08-01,6.14
2000-09-01,5.91
2000-10-01,5.95
2000-11-01,5.83
2000-12-01,5.56
2001-01-01,4.97
2001-02-01,5.01
2001-03-01,4.88
2001-04-01,4.92
2001-05-01,5.17
2001-06-01,5.24
2001-07-01,5.21
2001-08-01,4.9
2001-09-01,4.88
2001-10-01,4.33
2001-11-01,4.01
2001-12-01,4.51
2002-01-01,4.97
2002-02-01,4.78
2002-03-01,4.82
2002-04-01,5.29
2002-05-01,4.86
2002-06-01,4.75
2002-07-01,4.54
2002-08-01,4.04
2002-09-01,3.63
2002-10-01,3.34
2002-11-01,3.54
2002-12-01,3.89
2003-01-01,3.62
2003-02-01,3.58
2003-03-01,3.21
2003-04-01,3.35
2003-05-01,3.37
2003-06-01,2.94
2003-07-01,3.06
2003-08-01,4.01
2003-09-01,4.17
2003-10-01,3.4
2003-11-01,3.88
2003-12-01,3.98
2004-01-01,3.9
2004-02-01,3.7
2004-03-01,3.49
2004-04-01,3.38
2004-05-01,4.11
2004-06-01,4.31
2004-07-01,4.18
2004-08-01,4.1
2004-09-01,3.76
2004-10-01,3.85
2004-11-01,3.76
2004-12-01,4.08
2005-01-01,3.94
2005-02-01,3.93
2005-03-01,4.19
2005-04-01,4.29
2005-05-01,4.02
2005-06-01,3.74
2005-07-01,3.92
2005-08-01,4.22
2005-09-01,3.91
2005-10-01,4.31
2005-11-01,4.51
2005-12-01,4.47
2006-01-01,4.32
2006-02-01,4.52
2006-03-01,4.6
2006-04-01,4.86
2006-05-01,5.04
2006-06-01,5.05
2006-07-01,5.12
2006-08-01,4.92
2006-09-01,4.69
2006-10-01,4.57
2006-11-01,4.52
2006-12-01,4.39
2007-01-01,4.68
2007-02-01,4.84
2007-03-01,4.51
2007-04-01,4.57
2007-05-01,4.57
2007-06-01,4.92
2007-07-01,4.93
2007-08-01,4.66
2007-09-01,4.38
2007-10-01,4.37
2007-11-01,4.16
2007-12-01,3.53
2008-01-01,3.54
2008-02-01,3.13
2008-03-01,2.96
2008-04-01,3.04
2008-05-01,3.36
2008-06-01,3.56
2008-07-01,3.62
2008-08-01,3.54
2008-09-01,3.37
2008-10-01,3.29
2008-11-01,3.21
2008-12-01,2.13
2009-01-01,2.07
2009-02-01,2.16
2009-03-01,2.54
2009-04-01,2.25
2009-05-01,2.72
2009-06-01,3.28
2009-07-01,3.2
2009-08-01,3.3
2009-09-01,2.99
2009-10-01,2.82
2009-11-01,3
2009-12-01,2.74
2010-01-01,3.36
2010-02-01,3.12
2010-03-01,3.04
2010-04-01,3.32
2010-05-01,3.16
2010-06-01,2.74
2010-07-01,2.43
2010-08-01,2.35
2010-09-01,2.02
2010-10-01,1.9
2010-11-01,1.9
2010-12-01,2.33
2011-01-01,2.74
2011-02-01,2.79
2011-03-01,2.81
2011-04-01,2.9
2011-05-01,2.66
2011-06-01,2.28
2011-07-01,2.54
2011-08-01,2.05
2011-09-01,1.49
2011-10-01,1.33
2011-11-01,1.45
2011-12-01,1.55
2012-01-01,1.41
2012-02-01,1.27
2012-03-01,1.44
2012-04-01,1.6
2012-05-01,1.35
2012-06-01,0.93
2012-07-01,1.04
2012-08-01,1.03
2012-09-01,1.03
2012-10-01,1.04
2012-11-01,1.16
2012-12-01,1.05
2013-01-01,1.25
2013-02-01,1.4
2013-03-01,1.23
2013-04-01,1.23
2013-05-01,1.07
2013-06-01,1.53
2013-07-01,1.93
2013-08-01,2.15
2013-09-01,2.31
2013-10-01,2.04
2013-11-01,2.03
2013-12-01,2.16
2014-01-01,2.41
2014-02-01,2.07
2014-03-01,2.07
2014-04-01,2.32
2014-05-01,2.21
2014-06-01,2.12
2014-07-01,2.17
2014-08-01,2.16
2014-09-01,2.11
2014-10-01,2.12
2014-11-01,2.05
2014-12-01,1.93
2015-01-01,1.92
2015-02-01,1.49
2015-03-01,1.89
2015-04-01,1.65
2015-05-01,1.87
2015-06-01,1.93
2015-07-01,2.14
2015-08-01,1.89
2015-09-01,1.89
2015-10-01,1.75
2015-11-01,1.93
2015-12-01,1.93
2016-01-01,2.06
2016-02-01,1.72
2016-03-01,1.62
2016-04-01,1.56
2016-05-01,1.64
2016-06-01,1.67
2016-07-01,1.27
2016-08-01,1.33
2016-09-01,1.44
2016-10-01,1.46
2016-11-01,1.61
2016-12-01,2.25
2017-01-01,2.26
2017-02-01,2.27
2017-03-01,2.29
2017-04-01,2.16
2017-05-01,2.13
2017-06-01,2.02
2017-07-01,2.19
2017-08-01,2.07
2017-09-01,1.99
2017-10-01,2.17
2017-11-01,2.22
2017-12-01,2.28
2018-01-01,2.38
2018-02-01,2.72
2018-03-01,2.74
2018-04-01,2.67
2018-05-01,2.93
2018-06-01,2.85
2018-07-01,2.83
2018-08-01,2.96
2018-09-01,2.85
2018-10-01,3.04
2018-11-01,3.06
2018-12-01,2.9
2019-01-01,2.56
2019-02-01,2.59
2019-03-01,2.67
2019-04-01,2.4
2019-05-01,2.41
2019-06-01,1.95
2019-07-01,1.9
2019-08-01,1.77
2019-09-01,1.42
2019-10-01,1.59
2019-11-01,1.63
2019-12-01,1.77
2020-01-01,1.79
2020-02-01,1.45
2020-03-01,1.01
2020-04-01,0.51
2020-05-01,0.53
2020-06-01,0.5
2020-07-01,0.52
2020-08-01,0.4
2020-09-01,0.46
2020-10-01,0.46
2020-11-01,0.63
2020-12-01,0.68
2021-01-01,0.64
2021-02-01,0.76
2021-03-01,1.12
2021-04-01,1.37
2021-05-01,1.29
2021-06-01,1.28
2021-07-01,1.24
2021-08-01,0.96
2021-09-01,1.08
2021-10-01,1.26
2021-11-01,1.46
2021-12-01,1.35
2022-01-01,1.55
2022-02-01,1.76
2022-03-01,1.67
2022-04-01,2.5
2022-05-01,3.04
2022-06-01,2.98
2022-07-01,2.92
2022-08-01,2.64
2022-09-01,3.36
2022-10-01,3.79
2022-11-01,4.18
2022-12-01,3.62
2023-01-01,3.89
2023-02-01,3.43
2023-03-01,4.17
2023-04-01,3.48
2023-05-01,3.62
2023-06-01,3.66
2023-07-01,4.03
2023-08-01,4.15
2023-09-01,4.27
2023-10-01,4.73
2023-11-01,4.75
2023-12-01,4.22
2024-01-01,3.95
2024-02-01,3.83
2024-03-01,4.2
2024-04-01,4.33
2024-05-01,4.64
2024-06-01,4.41
2024-07-01,4.45
2024-08-01,3.89
2024-09-01,3.73
